Date,Segment,Metric,Budget_Value,Forecast_Value,Variance,Variance_Pct
2026-02-28 00:00:00.000000000,Near Prime Small,GrossImpairment,-281718.7530588205,51975.09999999999,333693.8530588205,-118.44928654399803
2026-02-28 00:00:00.000000000,Near Prime Small,NetImpairment,-281718.7530588205,51975.1,333693.8530588205,-118.44928654399803
2026-02-28 00:00:00.000000000,Near Prime Small,Revenue,571853.6917412939,681815.12,109961.42825870612,19.228944369297274
2026-02-28 00:00:00.000000000,Non Prime,ClosingGBV,94838827.54621516,92101595.5,-2737232.0462151617,-2.8861934684729196
2026-02-28 00:00:00.000000000,Non Prime,ClosingNBV,76995011.40856633,76802329.72,-192681.6885663271,-0.2502521722399398
2026-02-28 00:00:00.000000000,Non Prime,Collections,7445507.400907075,9457714.83,2012207.429092925,27.02579314940685
2026-02-28 00:00:00.000000000,Non Prime,DebtSaleGain,0.0,-0.0,-0.0,
2026-02-28 00:00:00.000000000,Non Prime,GrossImpairment,-1713008.995458935,-36096.68999999996,1676912.305458935,-97.89279040006855
2026-02-28 00:00:00.000000000,Non Prime,NetImpairment,-1713008.995458935,-36096.69,1676912.305458935,-97.89279040006855
2026-02-28 00:00:00.000000000,Non Prime,Revenue,2584136.964865295,2885895.33,301758.36513470486,11.677336350104595
2026-02-28 00:00:00.000000000,Prime,ClosingGBV,2741116.251477426,1865957.27,-875158.9814774259,-31.92710199743358
2026-02-28 00:00:00.000000000,Prime,ClosingNBV,2101029.0746868774,1515345.17,-585683.9046868775,-27.876049491326704
2026-02-28 00:00:00.000000000,Prime,Collections,194373.92880907786,288483.63999999996,94109.7111909221,48.41683849656635
2026-02-28 00:00:00.000000000,Prime,DebtSaleGain,0.0,-0.0,-0.0,
2026-02-28 00:00:00.000000000,Prime,GrossImpairment,-371.7750784220197,-9127.699999999999,-8755.92492157798,2355.16725831706
2026-02-28 00:00:00.000000000,Prime,NetImpairment,-371.7750784220197,-9127.7,-8755.924921577982,2355.16725831706
2026-02-28 00:00:00.000000000,Prime,Revenue,22012.486868712254,20357.57,-1654.9168687122547,-7.518082252962033
2026-02-28 00:00:00.000000000,Total,ClosingGBV,235102919.3115151,223647099.68,-11455819.631515086,-4.87268285100958
2026-02-28 00:00:00.000000000,Total,ClosingNBV,200781472.7319662,198443350.13,-2338122.6019662023,-1.1645111325024882
2026-02-28 00:00:00.000000000,Total,Collections,13811430.425473716,17616255.39,3804824.9645262845,27.548377302822225
2026-02-28 00:00:00.000000000,Total,DebtSaleGain,0.0,0.0,0.0,
2026-02-28 00:00:00.000000000,Total,GrossImpairment,-2931294.252562808,668706.29,3600000.542562808,-122.81266336245007
2026-02-28 00:00:00.000000000,Total,NetImpairment,-2931294.252562808,668706.2899999999,3600000.542562808,-122.81266336245005
2026-02-28 00:00:00.000000000,Total,Revenue,4580220.043535713,5240084.0,659863.9564642869,14.406817798974192
2026-03-31 00:00:00.000000000,Near Prime Medium,ClosingGBV,100095439.43601142,91194973.76,-8900465.676011413,-8.891979221192459
2026-03-31 00:00:00.000000000,Near Prime Medium,ClosingNBV,87098771.0982149,85121498.00999999,-1977273.088214904,-2.2701503859167915
2026-03-31 00:00:00.000000000,Near Prime Medium,Collections,3766365.377811832,5241040.43,1474675.0521881678,39.15379694375054
